"","DELL.Open","DELL.High","DELL.Low","DELL.Close","DELL.Volume","DELL.Adjusted"
"322",44.739758,45.066444,44.246956,44.822811,1517000,44.822811
"323",44.916943,45.487267,44.822811,45.354374,2913400,45.354374
"324",45.487267,45.891472,45.393135,45.714287,4107700,45.714287
"325",45.653378,45.653378,42.547066,43.18383,4304700,43.18383
"326",43.493908,43.665558,42.414173,43.322258,15288600,43.322258
"327",42.967884,45.365448,42.801773,44.274639,6995100,44.274639
"328",44.401993,44.435215,41.339977,41.467331,4315000,41.467331
"329",41.290142,41.982281,40.730896,41.234772,3106500,41.234772
"330",40.974529,41.794022,40.836102,41.561462,3967900,41.561462
"331",41.982281,42.619049,41.838318,42.021042,3630700,42.021042
"332",42.541527,43.017719,42.048725,42.774086,5191100,42.774086
"333",42.890366,43.931339,42.691029,43.903656,2195500,43.903656
"334",43.765228,44.296787,43.394241,43.881508,3856500,43.881508
"335",44.053158,44.723145,43.853821,44.401993,2950600,44.401993
"336",44.745293,44.939091,44.14175,44.163898,1961300,44.163898
"337",44.418606,44.911407,43.947952,44.844963,2869000,44.844963
"338",45.11628,46.937984,44.94463,46.937984,3800100,46.937984
"339",46.777409,46.777409,45.863789,46.146179,4245900,46.146179
"340",46.456257,46.589146,45.791805,46.151718,2864800,46.151718
"341",46.140644,46.306755,45.62569,45.703213,1527600,45.703213
"342",45.609081,45.957916,45.28793,45.448505,1856000,45.448505
"343",45.293465,45.3433,44.916943,45.060909,2712600,45.060909
"344",44.977852,45.304539,44.789589,44.994461,2083000,44.994461
"345",45.038761,45.221485,44.629013,44.867111,2524600,44.867111
"346",45.049835,45.132889,44.706535,45.005539,1593000,45.005539
"347",45.143963,45.692139,45.127354,45.642303,1202000,45.642303
"348",45.719822,46.52824,45.658916,46.124031,2888500,46.124031
"349",46.18494,47.037651,46.107418,46.943523,2504500,46.943523
"350",47.065338,47.430786,46.954597,47.286823,1254400,47.286823
"351",47.115173,47.325581,46.92691,47.275749,1876400,47.275749
"352",47.342194,47.342194,46.638981,46.666668,1403400,46.666668
"353",46.400887,46.854927,46.173866,46.849392,1225300,46.849392
"354",47.347729,48.084164,47.231449,48.078629,1649700,48.078629
"355",48.100777,48.35548,47.718716,48.034328,2777900,48.034328
